date;time;kinds;mode;duration
2021/06/14 16:18:18;16:18:18;1;1;0:00:07.475947
2021/06/14 16:18:20;16:18:20;2;1;0:00:00.166482
2021/06/14 16:18:26;16:18:26;1;2;0:00:07.525271
2021/06/14 16:18:27;16:18:27;2;2;0:00:06.632830
2021/06/14 ;16:20:13;2;2;0:00:00.156679
2021/06/14 ;16:20:13;1;2;0:00:00.159643
2021/06/14 ;16:20:24;1;1;0:00:00.159643
2021/06/14 ;16:21:01;1;2;0:00:36.776961
2021/06/14 ;16:26:26;2;2;0:00:00.185203
2021/06/14 ;16:26:26;1;2;0:00:00.189416
2021/06/14 ;16:50:06;1;2;0:00:00.346064
2021/06/14 ;16:50:06;2;2;0:00:00.345862
2021/06/14 ;16:50:40;1;1;0:00:00.346064
2021/06/14 ;16:50:44;2;1;0:00:00.345862
2021/06/14 ;16:50:49;2;2;0:00:05.112584
2021/06/14 ;16:50:51;1;2;0:00:11.583803
2021/06/14 ;16:52:31;2;1;0:00:05.112584
2021/06/14 ;16:52:51;2;2;0:00:20.172419
2021/06/14 ;17:06:14;2;1;0:00:20.172419
2021/06/14 ;17:06:15;1;1;0:00:11.583803
2021/06/14 ;17:07:18;1;2;0:01:02.240689
2021/06/14 ;17:07:19;1;3;0:01:02.240689
2021/06/14 ;17:07:20;2;2;0:01:06.011050
2021/06/14 ;17:07:23;2;3;0:01:06.011050
2021/06/14 ;17:08:27;2;2;0:02:13.489748
2021/06/14 ;17:08:29;1;2;0:02:13.231845
2021/06/14 ;17:14:01;2;2;0:00:00.185425
2021/06/14 ;17:21:01;2;2;0:00:00.166692
2021/06/14 ;17:22:22;1;2;0:00:00.184553
2021/06/14 ;17:22:22;2;2;0:00:00.184306
2021/06/14 ;17:22:44;2;2;0:00:00.160530
2021/06/14 ;17:22:44;1;2;0:00:00.185492
2021/06/14 ;17:22:52;1;1;0:00:00.185492
2021/06/14 ;17:24:01;1;2;0:01:10.075884
2021/06/14 ;17:24:08;1;1;0:01:10.075884
2021/06/14 ;17:24:17;1;2;0:00:08.681003
2021/06/14 ;17:24:18;1;3;0:00:08.681003
2021/06/14 ;17:24:20;1;2;0:00:10.704564
2021/06/14 ;17:24:21;1;3;0:00:10.704564
2021/06/14 ;17:24:29;1;2;0:00:20.138105
2021/06/15 ;09:54:53;2;2;0:00:10.231454
2021/06/15 ;09:54:53;1;2;0:00:10.236504
2021/06/15 ;09:55:58;1;1;0:00:10.236504
2021/06/15 ;09:55:59;1;2;0:00:00.603645
2021/06/15 ;09:56:01;2;1;0:00:10.231454
2021/06/15 ;09:56:01;2;2;0:00:00.669542
2021/06/15 ;09:56:47;2;2;0:00:00.208604
2021/06/15 ;09:56:47;1;2;0:00:00.220564
2021/06/15 ;09:57:57;1;1;0:00:00.220564
2021/06/15 ;09:58:02;1;2;0:00:05.449142
2021/06/15 ;09:58:03;1;3;0:00:05.449142
2021/06/15 ;09:58:04;1;2;0:00:06.619062
2021/06/15 ;09:58:06;2;1;0:00:00.208604
2021/06/15 ;09:58:09;2;2;0:00:02.469617
2021/06/15 ;09:59:51;2;2;0:00:00.194516
2021/06/15 ;09:59:51;1;2;0:00:00.214465
2021/06/15 ;10:08:19;1;1;0:00:00.214465
2021/06/15 ;10:08:56;1;2;0:00:00.221174
2021/06/15 ;10:08:56;2;2;0:00:00.221052
2021/06/15 ;10:09:58;1;1;0:00:00.221174
2021/06/15 ;10:11:11;1;2;0:01:13.118356
2021/06/15 ;10:10:55;2;2;0:00:00.201534
2021/06/15 ;10:10:55;1;2;0:00:00.203817
2021/06/15 ;10:11:04;1;1;0:00:00.203817
2021/06/15 ;10:13:30;1;2;0:02:25.470332
2021/06/15 ;10:13:39;1;1;2.0
2021/06/15 ;10:14:45;1;2;0:01:06.484377
2021/06/15 ;10:14:20;1;2;0:00:00.213517
2021/06/15 ;10:14:20;2;2;0:00:00.212401
2021/06/15 ;10:19:10;1;2;0:00:00.224710
2021/06/15 ;10:19:10;2;2;0:00:00.226440
2021/06/15 ;10:23:30;1;2;0:00:11.671639
2021/06/15 ;10:23:30;2;2;0:00:11.673178
2021/06/15 ;10:28:24;2;2;0:00:00.218557
2021/06/15 ;10:28:24;1;2;0:00:00.222419
2021/06/15 ;10:37:02;1;2;0:00:09.811587
2021/06/15 ;10:37:02;2;2;0:00:09.811966
2021/06/15 ;13:40:52;1;2;0:00:00.216013
2021/06/15 ;13:40:52;2;2;0:00:00.198948
2021/06/15 ;13:41:47;2;1;0:00:00.198948
2021/06/15 ;13:41:49;2;2;0:00:01.484774
2021/06/15 ;13:42:41;2;1;0:00:01.484774
2021/06/15 ;13:42:42;2;2;0:00:00.790484
2021/06/15 ;13:43:31;1;1;0:00:00.216013
2021/06/15 ;13:44:44;1;2;0:01:12.493356
2021/06/15 ;13:43:33;2;2;0:00:00.189560
2021/06/15 ;13:43:33;1;2;0:00:00.189690
2021/06/15 ;13:57:26;2;1;0:00:00.189560
2021/06/15 ;13:57:26;2;2;0:00:00.749244
2021/06/15 ;13:57:59;2;2;0:00:00.207460
2021/06/15 ;13:57:59;1;2;0:00:00.222745
2021/06/15 ;13:58:42;1;1;0:00:00.222745
2021/06/15 ;13:59:07;1;2;0:00:24.613479
2021/06/15 ;14:01:02;1;1;0:00:24.613479
2021/06/15 ;14:02:48;1;2;0:01:46.016125
2021/06/15 ;14:13:34;1;2;0:00:00.222242
2021/06/15 ;14:13:34;2;2;0:00:00.222253
2021/06/15 ;14:14:16;1;1;0:00:00.222242
2021/06/15 ;14:15:25;1;2;0:01:08.778521
2021/06/15 ;14:18:12;1;2;0:00:05.616129
2021/06/15 ;14:18:12;2;2;0:00:05.632288
2021/06/15 ;14:18:52;1;1;0:00:05.616129
2021/06/15 ;14:20:02;1;2;0:01:10.284987
2021/06/15 ;14:26:03;2;2;0:00:00.256324
2021/06/15 ;14:26:03;1;2;0:00:00.259486
2021/06/15 ;14:28:56;1;1;0:00:00.259486
2021/06/15 ;14:30:14;1;2;0:01:18.481690
2021/06/15 ;14:39:40;2;2;0:00:00.223063
2021/06/15 ;14:39:40;1;2;0:00:00.226586
2021/06/15 ;14:40:34;2;1;0:00:00.223063
2021/06/15 ;14:41:48;2;2;0:01:14.710487
2021/06/15 ;14:42:01;2;1;0:01:14.710487
2021/06/15 ;14:43:09;2;2;0:01:07.842543
2021/06/15 ;14:52:52;1;2;0:00:00.201426
2021/06/15 ;14:52:52;2;2;0:00:00.204022
2021/06/15 ;14:54:31;1;1;0:00:00.201426
2021/06/15 ;14:54:55;2;1;0:00:00.204022
2021/06/15 ;14:55:43;2;2;0:00:47.599541
2021/06/15 ;14:55:51;1;2;0:01:19.676600
2021/06/15 ;14:57:39;1;1;0:01:19.676600
2021/06/15 ;14:58:49;1;2;0:01:10.774781
2021/06/15 ;14:58:51;1;3;0:01:10.774781
2021/06/15 ;14:59:47;1;2;0:02:08.512330
2021/06/15 ;15:00:59;2;2;0:00:00.204628
2021/06/15 ;15:00:59;1;2;0:00:00.207709
2021/06/15 ;15:01:40;1;1;0:00:00.207709
2021/06/15 ;15:02:55;1;2;0:01:15.607348
2021/06/15 ;15:03:01;1;1;0:01:15.607348
2021/06/15 ;15:04:10;1;2;0:01:09.472063
2021/06/15 ;15:05:43;1;2;0:00:00.171685
2021/06/15 ;15:05:43;2;2;0:00:00.158419
2021/06/15 ;15:06:34;1;1;0:00:00.171685
2021/06/15 ;15:07:49;1;2;0:01:14.791084
2021/06/15 ;15:08:23;1;1;0:01:14.791084
2021/06/15 ;15:09:35;1;2;0:01:12.464101
2021/06/15 ;15:13:10;1;1;0:01:12.464101
2021/06/15 ;15:14:27;1;2;0:01:17.405098
2021/06/15 ;15:16:43;2;2;0:00:00.189818
2021/06/15 ;15:16:43;1;2;0:00:00.204191
2021/06/15 ;15:16:53;1;1;0:00:00.204191
2021/06/15 ;15:16:55;2;1;0:00:00.189818
2021/06/15 ;15:18:03;2;2;0:01:07.435629
2021/06/15 ;15:18:04;1;2;0:01:11.053836
2021/06/15 ;15:18:08;2;1;0:01:07.435629
2021/06/15 ;15:18:09;1;1;0:01:11.053836
2021/06/15 ;15:19:16;1;2;0:01:06.991197
2021/06/15 ;15:19:17;2;2;0:01:09.087952
2021/06/15 ;15:19:29;2;1;0:01:09.087952
2021/06/15 ;15:19:31;1;1;0:01:06.991197
2021/06/15 ;15:20:48;2;2;0:01:19.247808
2021/06/15 ;15:20:49;1;2;0:01:18.327996
2021/06/15 ;15:21:37;1;2;0:00:00.193189
2021/06/15 ;15:21:37;2;2;0:00:00.193245
2021/06/15 ;15:26:40;1;1;0:00:00.193189
2021/06/15 ;15:26:42;2;1;0:00:00.193245
2021/06/15 ;15:27:59;1;2;0:01:18.974975
2021/06/15 ;15:28:00;2;2;0:01:17.901877
2021/06/15 ;15:32:16;1;2;0:00:16.221709
2021/06/15 ;15:32:17;2;2;0:00:16.321090
2021/06/15 ;15:32:27;1;1;0:00:16.221709
2021/06/15 ;15:33:05;2;1;0:00:16.321090
2021/06/15 ;15:34:11;2;2;0:01:06.943856
2021/06/15 ;15:34:12;1;2;0:01:45.746916
2021/06/15 ;15:34:16;1;3;0:01:45.746916
2021/06/15 ;15:34:19;2;1;0:01:06.943856
2021/06/15 ;15:34:31;1;2;0:02:04.166935
2021/06/15 ;15:34:33;1;3;2.0
2021/06/15 ;15:34:34;1;2;0:02:07.566768
2021/06/15 ;15:39:12;2;2;0:04:53.158027
2021/06/15 ;15:41:35;2;2;0:00:00.237848
